FedEx Express U.S. Package Standard List Rates: FedEx First Overnight®										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
119	$236.81 	$323.68 	$496.23 	$531.93 	$577.15 	$599.76 	$621.18 	$630.70 	$648.55 	$493.85 
120	$238.80 	$326.40 	$500.40 	$536.40 	$582.00 	$604.80 	$626.40 	$636.00 	$654.00 	$498.00 
121	$240.79 	$329.12 	$504.57 	$540.87 	$586.85 	$609.84 	$631.62 	$641.30 	$659.45 	$502.15 
122	$242.78 	$331.84 	$508.74 	$545.34 	$591.70 	$614.88 	$636.84 	$646.60 	$664.90 	$506.30 
123	$244.77 	$334.56 	$512.91 	$549.81 	$596.55 	$619.92 	$642.06 	$651.90 	$670.35 	$510.45 
124	$246.76 	$337.28 	$517.08 	$554.28 	$601.40 	$624.96 	$647.28 	$657.20 	$675.80 	$514.60 
125	$248.75 	$340.00 	$521.25 	$558.75 	$606.25 	$630.00 	$652.50 	$662.50 	$681.25 	$518.75 
126	$250.74 	$342.72 	$525.42 	$563.22 	$611.10 	$635.04 	$657.72 	$667.80 	$686.70 	$522.90 
127	$252.73 	$345.44 	$529.59 	$567.69 	$615.95 	$640.08 	$662.94 	$673.10 	$692.15 	$527.05 
128	$254.72 	$348.16 	$533.76 	$572.16 	$620.80 	$645.12 	$668.16 	$678.40 	$697.60 	$531.20 
129	$256.71 	$350.88 	$537.93 	$576.63 	$625.65 	$650.16 	$673.38 	$683.70 	$703.05 	$535.35 
130	$258.70 	$353.60 	$542.10 	$581.10 	$630.50 	$655.20 	$678.60 	$689.00 	$708.50 	$539.50 
131	$260.69 	$356.32 	$546.27 	$585.57 	$635.35 	$660.24 	$683.82 	$694.30 	$713.95 	$543.65 
132	$262.68 	$359.04 	$550.44 	$590.04 	$640.20 	$665.28 	$689.04 	$699.60 	$719.40 	$547.80 
133	$264.67 	$361.76 	$554.61 	$594.51 	$645.05 	$670.32 	$694.26 	$704.90 	$724.85 	$551.95 
134	$266.66 	$364.48 	$558.78 	$598.98 	$649.90 	$675.36 	$699.48 	$710.20 	$730.30 	$556.10 
135	$268.65 	$367.20 	$562.95 	$603.45 	$654.75 	$680.40 	$704.70 	$715.50 	$735.75 	$560.25 
136	$270.64 	$369.92 	$567.12 	$607.92 	$659.60 	$685.44 	$709.92 	$720.80 	$741.20 	$564.40 
137	$272.63 	$372.64 	$571.29 	$612.39 	$664.45 	$690.48 	$715.14 	$726.10 	$746.65 	$568.55 
138	$274.62 	$375.36 	$575.46 	$616.86 	$669.30 	$695.52 	$720.36 	$731.40 	$752.10 	$572.70 
139	$276.61 	$378.08 	$579.63 	$621.33 	$674.15 	$700.56 	$725.58 	$736.70 	$757.55 	$576.85 
140	$278.60 	$380.80 	$583.80 	$625.80 	$679.00 	$705.60 	$730.80 	$742.00 	$763.00 	$581.00 
141	$280.59 	$383.52 	$587.97 	$630.27 	$683.85 	$710.64 	$736.02 	$747.30 	$768.45 	$585.15 
142	$282.58 	$386.24 	$592.14 	$634.74 	$688.70 	$715.68 	$741.24 	$752.60 	$773.90 	$589.30 
143	$284.57 	$388.96 	$596.31 	$639.21 	$693.55 	$720.72 	$746.46 	$757.90 	$779.35 	$593.45 
144	$286.56 	$391.68 	$600.48 	$643.68 	$698.40 	$725.76 	$751.68 	$763.20 	$784.80 	$597.60 
145	$288.55 	$394.40 	$604.65 	$648.15 	$703.25 	$730.80 	$756.90 	$768.50 	$790.25 	$601.75 
146	$290.54 	$397.12 	$608.82 	$652.62 	$708.10 	$735.84 	$762.12 	$773.80 	$795.70 	$605.90 
147	$292.53 	$399.84 	$612.99 	$657.09 	$712.95 	$740.88 	$767.34 	$779.10 	$801.15 	$610.05 
